NOME_CEDENTE,Yield_hje,Dias_Hoje,VALOR_NOMINAL_Medio,PDD_pct,Quantidade,Atraso_pct
ARC COM+RCIO DE AUTO PE¦AS LTDA,0.08476729522620041,62.90892006682692,3990.561423728811,0.2316494838612937,295,0.4472449909261018
U BOLT IND+STRIA METAL+RGICA EIRELI EPP,0.4232802150308717,18.440284733022786,1805.777634961438,0.006129951043724796,389,0.05737266759626718
IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,0.33290167388635705,28.205109485109855,20816.72694545456,0.00047261708172883154,275,0.002935790349277307
VICKER ACESS+RIOS PARA MOLAS LTDA,0.5809660813950441,6.274756288119852,4168.185436507936,0.0002707739715271457,252,0.0008560970082712503
RODAROS INDUSTRIA DE RODAS LTDA,0.04942101147412847,112.87943963734085,32287.905202312148,0.09560412358824673,173,0.07696336815182345
Foco Industria de Auto Peças e Comercio EIRELI,0.26729400120648394,23.86365778743609,6246.619402985073,0.0,67,0.0
IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,0.6830803963770888,4.317103907329844,5412.630666666667,0.03086814308351315,30,0.04244596709796988
ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,1.0089462699307297,4.908799226612199,4638.294,0.09999977500348746,5,0.8260666709666
FONTAINE INTERNACIONAL DO BRASIL S/A,1205.276179817412,4.317435913821264,1182.3488888888887,0.07015384824013618,9,0.2784836218411613
BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,-0.4460756538608481,-2.0,14768.1,0.1,1,0.0
