Date,PL
20191121,1000000.0
20191122,998500.0
20191125,997716.06
20191126,996980.45
20191127,1996280.58
20191128,1995668.4
20191129,1996562.09
20191202,1997581.12
20191203,1998806.34
20191204,1999782.52
20191205,2992831.35
20191206,2993762.55
20191209,2995246.86
20191210,2996049.96
20191211,2997440.91
20191212,2998776.26
20191213,3001292.24
20191216,3003909.99
20191217,4006762.01
20191218,4010669.07
20191219,4014603.17
20191220,4019034.27
20191223,4023386.57
20191224,4028060.09
20191226,4033504.54
20191227,4031258.28
20191230,4036065.24
20191231,4039631.32
20200102,4043857.6
20200103,4049618.72
20200106,4054191.37
20200107,4058693.39
20200108,4063963.02
20200109,4068827.59
20200110,4074112.05
20200113,4068609.69
20200114,4083470.34
20200115,4088084.92
20200116,4093164.33
20200117,5096047.82
20200120,5101636.65
20200121,5093916.49
20200122,5096101.29
20200123,5106714.16
20200124,5112663.48
20200127,5118524.06
20200128,5133219.52
20200129,5158616.31
20200130,5165849.2
20200131,5173068.72
20200203,5183942.88
20200204,5191181.33
20200205,6198324.8
20200206,6208755.51
20200207,6218347.0
20200210,6234574.07
20200211,6243063.68
20200212,6246529.12
20200213,6254817.27
20200214,7264800.17
20200217,7274034.18
20200218,7283559.6
20200219,7294890.93
20200220,7306500.16
20200221,7318382.18
20200226,7316342.4
20200227,7326151.6
