Unnamed: 0,Date,psac1,psac2,psac3,psac4
0,20191122,0.2402826987497989,0.0,0.4107699636076623,0.3489473376425389
1,20191125,0.2402827074665609,0.0,0.4107699472774349,0.3489473452560042
2,20191126,0.2138339441389338,0.0,0.39700459497805496,0.3891614608830112
3,20191127,0.21383591887408807,0.0,0.39700564803644905,0.3891584330894629
4,20191128,0.693397738385894,0.0,0.17048069688620546,0.13612156472790052
5,20191129,0.6871859528048054,0.0,0.16910465293957336,0.14370939425562118
6,20191202,0.6254430037519014,0.05392811567330777,0.1460525268161762,0.1745763537586146
7,20191204,0.6249900539506128,0.05398603208837844,0.14620267677925886,0.1748212371817499
8,20191205,0.6476994059028091,0.055997962647032135,0.1039610801557956,0.1923415512943632
9,20191218,0.5824369376971066,0.08022462477516583,0.15821879952906912,0.17911963799865846
10,20191219,0.6645592568918722,0.06789050155841864,0.13388669053087204,0.13366355101883706
11,20191220,0.6618339438365313,0.06766003863628392,0.13342544898164455,0.13708056854554027
12,20191226,0.6598648573181645,0.07931811169604888,0.1162550478810946,0.14456198310469204
13,20191227,0.6457153109894893,0.0776717446589161,0.13644490495623438,0.1401680393953602
14,20191231,0.6553362281169227,0.08321357226161911,0.14263248942337992,0.11881771019807832
16,20200131,0.21198900314803068,0.1668265929818073,0.5355567905994573,0.08562761327070466
